relationship_to_old_reference_person,new_reference_person_relationship_to_old_reference_person,relationship_to_new_reference_person,Note
Biological child,Opposite-sex spouse,Biological child,
Adopted child,Opposite-sex spouse,Adopted child,
Stepchild,Opposite-sex spouse,Biological child,Could be adopted child
Sibling,Opposite-sex spouse,Other relative,
Parent,Opposite-sex spouse,Parent-in-law,
Grandchild,Opposite-sex spouse,Grandchild,
Parent-in-law,Opposite-sex spouse,Parent,
Child-in-law,Opposite-sex spouse,Child-in-law,
Other relative,Opposite-sex spouse,Other relative,
Roommate or housemate,Opposite-sex spouse,Roommate or housemate,Questionable how people code Roommate or housemate vs other nonrelative
Foster child,Opposite-sex spouse,Foster child,
Other nonrelative,Opposite-sex spouse,Other nonrelative,
Biological child,Opposite-sex unmarried partner,Biological child,
Adopted child,Opposite-sex unmarried partner,Adopted child,
Stepchild,Opposite-sex unmarried partner,Biological child,"This likely shouldn't happen; we assume it is due to an expansive definition of ""stepchild."" Could also be adopted child"
Sibling,Opposite-sex unmarried partner,Other relative,
Parent,Opposite-sex unmarried partner,Other nonrelative,
Grandchild,Opposite-sex unmarried partner,Grandchild,
Parent-in-law,Opposite-sex unmarried partner,Parent,"This likely shouldn't happen; we assume it is due to a liberal use of ""in-law"""
Child-in-law,Opposite-sex unmarried partner,Child-in-law,
Other relative,Opposite-sex unmarried partner,Other nonrelative,
Roommate or housemate,Opposite-sex unmarried partner,Roommate or housemate,Questionable how people code Roommate or housemate vs other nonrelative
Foster child,Opposite-sex unmarried partner,Foster child,
Other nonrelative,Opposite-sex unmarried partner,Other nonrelative,
Biological child,Same-sex spouse,Adopted child,We assume a second-parent adoption
Adopted child,Same-sex spouse,Adopted child,"Possibly biological child (second-parent adoption), but we can't be sure"
Stepchild,Same-sex spouse,Biological child,Could be adopted child
Sibling,Same-sex spouse,Other relative,
Parent,Same-sex spouse,Parent-in-law,
Grandchild,Same-sex spouse,Grandchild,
Parent-in-law,Same-sex spouse,Parent,
Child-in-law,Same-sex spouse,Child-in-law,
Other relative,Same-sex spouse,Other relative,
Roommate or housemate,Same-sex spouse,Roommate or housemate,Questionable how people code Roommate or housemate vs other nonrelative
Foster child,Same-sex spouse,Foster child,
Other nonrelative,Same-sex spouse,Other nonrelative,
Biological child,Same-sex unmarried partner,Adopted child,We assume a second-parent adoption
Adopted child,Same-sex unmarried partner,Adopted child,"Possibly biological child (second-parent adoption), but we can't be sure"
Stepchild,Same-sex unmarried partner,Biological child,"This likely shouldn't happen; we assume it is due to an expansive definition of ""stepchild."" Could also be adopted child"
Sibling,Same-sex unmarried partner,Other relative,
Parent,Same-sex unmarried partner,Other nonrelative,
Grandchild,Same-sex unmarried partner,Grandchild,
Parent-in-law,Same-sex unmarried partner,Parent,"This likely shouldn't happen; we assume it is due to a liberal use of ""in-law"""
Child-in-law,Same-sex unmarried partner,Child-in-law,
Other relative,Same-sex unmarried partner,Other nonrelative,
Roommate or housemate,Same-sex unmarried partner,Roommate or housemate,Questionable how people code Roommate or housemate vs other nonrelative
Foster child,Same-sex unmarried partner,Foster child,
Other nonrelative,Same-sex unmarried partner,Other nonrelative,
Opposite-sex spouse,Biological child,Parent,
Opposite-sex unmarried partner,Biological child,Parent,
Same-sex spouse,Biological child,Parent,
